Tipo de Coeficiente;Coeficiente;Erro Padrão;AIC;BIC;store_id;Modelo
sigma2;107940,829;8889,725997;1669,801484;1683,526145;S0022; ARIMA(1,0,2)(0,0,0)[0] intercept
ma.L1;-0,882427316;0,053451247;1814,931526;1820,403923;S0023; ARIMA(0,1,1)(0,0,0)[0]          
sigma2;452952,8948;29813,61603;1814,931526;1820,403923;S0023; ARIMA(0,1,1)(0,0,0)[0]          
intercept;-4,317136834;108,6233455;2125,820767;2142,237958;S0026; ARIMA(1,1,3)(0,0,0)[0] intercept
ar.L1;-0,526832546;0,601421923;2125,820767;2142,237958;S0026; ARIMA(1,1,3)(0,0,0)[0] intercept
ma.L1;-0,013468528;0,597901682;2125,820767;2142,237958;S0026; ARIMA(1,1,3)(0,0,0)[0] intercept
ma.L2;-0,624958632;0,313369765;2125,820767;2142,237958;S0026; ARIMA(1,1,3)(0,0,0)[0] intercept
ma.L3;-0,073971956;0,213794862;2125,820767;2142,237958;S0026; ARIMA(1,1,3)(0,0,0)[0] intercept
sigma2;6189912,547;486725,0182;2125,820767;2142,237958;S0026; ARIMA(1,1,3)(0,0,0)[0] intercept
intercept;0,886774327;0,479972754;1324,396533;1335,341327;S0030; ARIMA(1,1,1)(0,0,0)[0] intercept
ar.L1;0,208353431;0,108395132;1324,396533;1335,341327;S0030; ARIMA(1,1,1)(0,0,0)[0] intercept
ma.L1;-0,957773548;0,04990019;1324,396533;1335,341327;S0030; ARIMA(1,1,1)(0,0,0)[0] intercept
sigma2;5951,020228;881,9531517;1324,396533;1335,341327;S0030; ARIMA(1,1,1)(0,0,0)[0] intercept
intercept;3,488700115;3,377109183;1542,396184;1553,340978;S0032; ARIMA(1,1,1)(0,0,0)[0] intercept
ar.L1;0,356533509;0,121749229;1542,396184;1553,340978;S0032; ARIMA(1,1,1)(0,0,0)[0] intercept
ma.L1;-0,895479813;0,090893482;1542,396184;1553,340978;S0032; ARIMA(1,1,1)(0,0,0)[0] intercept
sigma2;40666,61658;2555,5707;1542,396184;1553,340978;S0032; ARIMA(1,1,1)(0,0,0)[0] intercept
ma.L1;-0,786654919;0,083714746;999,9852874;1004,4535;S0036; ARIMA(0,1,1)(0,0,0)[0]          
sigma2;106694,8086;16568,83472;999,9852874;1004,4535;S0036; ARIMA(0,1,1)(0,0,0)[0]          
ar.L1;0,415490712;0,093500872;1978,721552;1986,930147;S0038; ARIMA(1,1,1)(0,0,0)[0]          
ma.L1;-0,899892867;0,049514473;1978,721552;1986,930147;S0038; ARIMA(1,1,1)(0,0,0)[0]          
sigma2;1757575,258;155799,9949;1978,721552;1986,930147;S0038; ARIMA(1,1,1)(0,0,0)[0]          
ma.L1;-0,79515953;0,050753845;1422,811953;1428,284349;S0039; ARIMA(0,1,1)(0,0,0)[0]          
sigma2;14744,67566;1911,90811;1422,811953;1428,284349;S0039; ARIMA(0,1,1)(0,0,0)[0]          
ar.L1;-0,696054788;0,206414855;1916,11971;1927,064504;S0040; ARIMA(1,1,2)(0,0,0)[0]          
ma.L1;-0,006709827;0,187356775;1916,11971;1927,064504;S0040; ARIMA(1,1,2)(0,0,0)[0]          
ma.L2;-0,72930863;0,129412728;1916,11971;1927,064504;S0040; ARIMA(1,1,2)(0,0,0)[0]          
sigma2;1074382,511;86667,09858;1916,11971;1927,064504;S0040; ARIMA(1,1,2)(0,0,0)[0]          
ma.L1;-0,688440406;0,076071528;1251,860856;1257,333253;S0041; ARIMA(0,1,1)(0,0,0)[0]          
sigma2;3303,212222;364,8052964;1251,860856;1257,333253;S0041; ARIMA(0,1,1)(0,0,0)[0]          
ma.L1;-0,564350963;0,073905895;1552,966168;1561,174763;S0045; ARIMA(0,1,2)(0,0,0)[0]          
ma.L2;-0,308582902;0,109360709;1552,966168;1561,174763;S0045; ARIMA(0,1,2)(0,0,0)[0]          
sigma2;45296,64258;3953,195558;1552,966168;1561,174763;S0045; ARIMA(0,1,2)(0,0,0)[0]          
intercept;665,7310607;120,6435597;1014,971059;1021,585137;S0046; ARIMA(1,0,0)(0,0,0)[0] intercept
ar.L1;0,429909687;0,068132603;1014,971059;1021,585137;S0046; ARIMA(1,0,0)(0,0,0)[0] intercept
sigma2;202473,305;24423,39525;1014,971059;1021,585137;S0046; ARIMA(1,0,0)(0,0,0)[0] intercept
ma.L1;-0,837268142;0,067522268;1673,217982;1678,690379;S0050; ARIMA(0,1,1)(0,0,0)[0]          
sigma2;131890,4172;8693,967208;1673,217982;1678,690379;S0050; ARIMA(0,1,1)(0,0,0)[0]          
intercept;804,2839481;90,27870298;1581,466194;1589,700991;S0052; ARIMA(1,0,0)(0,0,0)[0] intercept
ar.L1;0,298829626;0,069172702;1581,466194;1589,700991;S0052; ARIMA(1,0,0)(0,0,0)[0] intercept
sigma2;52437,0864;5584,178252;1581,466194;1589,700991;S0052; ARIMA(1,0,0)(0,0,0)[0] intercept
ar.L1;0,203953993;0,104476288;1644,021498;1652,230093;S0055; ARIMA(1,1,1)(0,0,0)[0]          
ma.L1;-0,900708163;0,044972371;1644,021498;1652,230093;S0055; ARIMA(1,1,1)(0,0,0)[0]          
sigma2;100377,8504;7841,254428;1644,021498;1652,230093;S0055; ARIMA(1,1,1)(0,0,0)[0]          
ma.L1;-0,860183924;0,05238639;1929,559315;1935,031712;S0056; ARIMA(0,1,1)(0,0,0)[0]          
sigma2;1243890,078;92229,62243;1929,559315;1935,031712;S0056; ARIMA(0,1,1)(0,0,0)[0]          
ar.L1;0,203006548;0,086909162;1719,358862;1727,567457;S0058; ARIMA(1,1,1)(0,0,0)[0]          
ma.L1;-0,921046828;0,057604858;1719,358862;1727,567457;S0058; ARIMA(1,1,1)(0,0,0)[0]          
sigma2;194634,0685;12649,73043;1719,358862;1727,567457;S0058; ARIMA(1,1,1)(0,0,0)[0]          
ar.L1;0,080511579;0,159372678;1253,258437;1263,557281;S0059; ARIMA(2,1,1)(0,0,0)[0]          
ar.L2;-0,300833351;0,123361063;1253,258437;1263,557281;S0059; ARIMA(2,1,1)(0,0,0)[0]          
ma.L1;-0,516416745;0,17942136;1253,258437;1263,557281;S0059; ARIMA(2,1,1)(0,0,0)[0]          
sigma2;21894,7324;3011,280434;1253,258437;1263,557281;S0059; ARIMA(2,1,1)(0,0,0)[0]          
ma.L1;-0,860987518;0,107827393;1045,215567;1049,533333;S0061; ARIMA(0,1,1)(0,0,0)[0]          
sigma2;655520,0281;56659,13449;1045,215567;1049,533333;S0061; ARIMA(0,1,1)(0,0,0)[0]          
ar.L1;0,142745667;0,160023273;2132,133959;2145,814951;S0062; ARIMA(3,1,1)(0,0,0)[0]          
ar.L2;-0,178357013;0,136803149;2132,133959;2145,814951;S0062; ARIMA(3,1,1)(0,0,0)[0]          
ar.L3;0,226223748;0,12018716;2132,133959;2145,814951;S0062; ARIMA(3,1,1)(0,0,0)[0]          
ma.L1;-0,888363394;0,116526325;2132,133959;2145,814951;S0062; ARIMA(3,1,1)(0,0,0)[0]          
sigma2;7284795,617;670115,9948;2132,133959;2145,814951;S0062; ARIMA(3,1,1)(0,0,0)[0]          
ma.L1;-0,713589718;0,066956524;1679,016441;1684,488838;S0067; ARIMA(0,1,1)(0,0,0)[0]          
sigma2;139498,3603;8386,088275;1679,016441;1684,488838;S0067; ARIMA(0,1,1)(0,0,0)[0]          
intercept;4,997574449;2,46095556;1344,183593;1357,864585;S0068; ARIMA(1,1,2)(0,0,0)[0] intercept
ar.L1;-0,810283533;0,128927706;1344,183593;1357,864585;S0068; ARIMA(1,1,2)(0,0,0)[0] intercept
ma.L1;0,05774525;0,105920352;1344,183593;1357,864585;S0068; ARIMA(1,1,2)(0,0,0)[0] intercept
ma.L2;-0,809180625;0,080435014;1344,183593;1357,864585;S0068; ARIMA(1,1,2)(0,0,0)[0] intercept
sigma2;6987,694057;741,0324207;1344,183593;1357,864585;S0068; ARIMA(1,1,2)(0,0,0)[0] intercept
intercept;18,13182059;11,17203718;818,4233973;826,4527301;S0071; ARIMA(0,1,2)(0,0,0)[0] intercept
ma.L1;-0,534102307;0,133893921;818,4233973;826,4527301;S0071; ARIMA(0,1,2)(0,0,0)[0] intercept
ma.L2;-0,330094304;0,17167384;818,4233973;826,4527301;S0071; ARIMA(0,1,2)(0,0,0)[0] intercept
sigma2;142900,4996;20216,10819;818,4233973;826,4527301;S0071; ARIMA(0,1,2)(0,0,0)[0] intercept
intercept;14,90547095;3,592121973;1603,166698;1614,111491;S0072; ARIMA(0,1,2)(0,0,0)[0] intercept
ma.L1;-0,528846729;0,097697492;1603,166698;1614,111491;S0072; ARIMA(0,1,2)(0,0,0)[0] intercept
ma.L2;-0,345285411;0,09168303;1603,166698;1614,111491;S0072; ARIMA(0,1,2)(0,0,0)[0] intercept
sigma2;69128,87286;8617,733613;1603,166698;1614,111491;S0072; ARIMA(0,1,2)(0,0,0)[0] intercept
intercept;2,721551617;1,589592604;1527,184333;1535,392928;S0073; ARIMA(0,1,1)(0,0,0)[0] intercept
ma.L1;-0,93293039;0,040217179;1527,184333;1535,392928;S0073; ARIMA(0,1,1)(0,0,0)[0] intercept
sigma2;35852,07485;4226,172614;1527,184333;1535,392928;S0073; ARIMA(0,1,1)(0,0,0)[0] intercept
ma.L1;-0,440601399;0,10758273;845,1839352;849,5327097;S0076; ARIMA(0,1,1)(0,0,0)[0]          
sigma2;24348,36616;3713,891777;845,1839352;849,5327097;S0076; ARIMA(0,1,1)(0,0,0)[0]          
ma.L1;-0,845055525;0,061014233;1358,230654;1363,703051;S0077; ARIMA(0,1,1)(0,0,0)[0]          
sigma2;8337,877158;825,1433956;1358,230654;1363,703051;S0077; ARIMA(0,1,1)(0,0,0)[0]          
intercept;8,174320937;3,472893593;1552,681914;1563,626707;S0080; ARIMA(0,1,2)(0,0,0)[0] intercept
ma.L1;-0,518272046;0,090670786;1552,681914;1563,626707;S0080; ARIMA(0,1,2)(0,0,0)[0] intercept
ma.L2;-0,325465283;0,094980333;1552,681914;1563,626707;S0080; ARIMA(0,1,2)(0,0,0)[0] intercept
sigma2;44450,11983;5061,977138;1552,681914;1563,626707;S0080; ARIMA(0,1,2)(0,0,0)[0] intercept
ar.L1;0,299531976;0,074317741;1884,904445;1898,585437;S0083; ARIMA(3,1,1)(0,0,0)[0]          
ar.L2;-0,226686917;0,12060431;1884,904445;1898,585437;S0083; ARIMA(3,1,1)(0,0,0)[0]          
ar.L3;0,233216898;0,087657824;1884,904445;1898,585437;S0083; ARIMA(3,1,1)(0,0,0)[0]          
ma.L1;-0,96501786;0,040412022;1884,904445;1898,585437;S0083; ARIMA(3,1,1)(0,0,0)[0]          
sigma2;847036,4496;58933,63469;1884,904445;1898,585437;S0083; ARIMA(3,1,1)(0,0,0)[0]          
ma.L1;-0,554903227;0,091658421;2177,937681;2186,146276;S0085; ARIMA(0,1,2)(0,0,0)[0]          
ma.L2;-0,311478163;0,091894942;2177,937681;2186,146276;S0085; ARIMA(0,1,2)(0,0,0)[0]          
sigma2;10781686,02;527540,4061;2177,937681;2186,146276;S0085; ARIMA(0,1,2)(0,0,0)[0]          
ma.L1;-0,558845041;0,089828052;1289,108607;1297,317202;S0086; ARIMA(0,1,2)(0,0,0)[0]          
ma.L2;-0,203404032;0,098419757;1289,108607;1297,317202;S0086; ARIMA(0,1,2)(0,0,0)[0]          
sigma2;4495,417997;611,723945;1289,108607;1297,317202;S0086; ARIMA(0,1,2)(0,0,0)[0]          
intercept;4,269744766;3,134756811;1558,716878;1566,925473;S0088; ARIMA(0,1,1)(0,0,0)[0] intercept
ma.L1;-0,888838578;0,056560191;1558,716878;1566,925473;S0088; ARIMA(0,1,1)(0,0,0)[0] intercept
sigma2;47434,19631;4840,818065;1558,716878;1566,925473;S0088; ARIMA(0,1,1)(0,0,0)[0] intercept
intercept;1,663546915;0,888240158;1303,19075;1314,135544;S0089; ARIMA(0,1,2)(0,0,0)[0] intercept
ma.L1;-0,667575954;0,101356208;1303,19075;1314,135544;S0089; ARIMA(0,1,2)(0,0,0)[0] intercept
ma.L2;-0,224125347;0,104487379;1303,19075;1314,135544;S0089; ARIMA(0,1,2)(0,0,0)[0] intercept
sigma2;4967,967743;655,0115046;1303,19075;1314,135544;S0089; ARIMA(0,1,2)(0,0,0)[0] intercept
ma.L1;-0,908584261;0,059533367;1701,471591;1706,943988;S0091; ARIMA(0,1,1)(0,0,0)[0]          
sigma2;168748,9454;11399,17919;1701,471591;1706,943988;S0091; ARIMA(0,1,1)(0,0,0)[0]          
ma.L1;-0,685040089;0,142900837;702,4649285;708,1403894;S0092; ARIMA(0,1,2)(0,0,0)[0]          
ma.L2;0,40133008;0,150416025;702,4649285;708,1403894;S0092; ARIMA(0,1,2)(0,0,0)[0]          
sigma2;86237,17789;22892,96062;702,4649285;708,1403894;S0092; ARIMA(0,1,2)(0,0,0)[0]          
intercept;24,65070334;6,591558568;1761,589672;1769,798267;S0094; ARIMA(0,1,1)(0,0,0)[0] intercept
ma.L1;-0,879677539;0,049933282;1761,589672;1769,798267;S0094; ARIMA(0,1,1)(0,0,0)[0] intercept
sigma2;279809,6541;26562,32503;1761,589672;1769,798267;S0094; ARIMA(0,1,1)(0,0,0)[0] intercept
intercept;3068,378973;573,0090714;2001,657651;2009,892448;S0095; ARIMA(1,0,0)(0,0,0)[0] intercept
ar.L1;0,544295833;0,060612618;2001,657651;2009,892448;S0095; ARIMA(1,0,0)(0,0,0)[0] intercept
sigma2;2016401,476;116990,1777;2001,657651;2009,892448;S0095; ARIMA(1,0,0)(0,0,0)[0] intercept
intercept;-97,77827975;161,3088112;2468,858486;2477,067081;S0097; ARIMA(0,1,1)(0,0,0)[0] intercept
ma.L1;-0,915134983;0,045272762;2468,858486;2477,067081;S0097; ARIMA(0,1,1)(0,0,0)[0] intercept
sigma2;138982395,8;0,001813601;2468,858486;2477,067081;S0097; ARIMA(0,1,1)(0,0,0)[0] intercept
intercept;43,90170232;26,8321936;1426,490957;1437,470685;S0099; ARIMA(2,0,0)(0,0,0)[0] intercept
ar.L1;0,587646387;0,064358384;1426,490957;1437,470685;S0099; ARIMA(2,0,0)(0,0,0)[0] intercept
ar.L2;0,294562575;0,064610701;1426,490957;1437,470685;S0099; ARIMA(2,0,0)(0,0,0)[0] intercept
sigma2;13160,78432;1254,94002;1426,490957;1437,470685;S0099; ARIMA(2,0,0)(0,0,0)[0] intercept
ma.L1;-0,657847236;0,060307901;1785,895202;1794,103798;S0102; ARIMA(0,1,2)(0,0,0)[0]          
ma.L2;-0,282119193;0,072557259;1785,895202;1794,103798;S0102; ARIMA(0,1,2)(0,0,0)[0]          
sigma2;346717,2562;35442,21204;1785,895202;1794,103798;S0102; ARIMA(0,1,2)(0,0,0)[0]          
intercept;45,6507099;27,24975073;1971,348075;1985,029067;S0104; ARIMA(1,1,2)(0,0,0)[0] intercept
ar.L1;-0,77132769;0,085362291;1971,348075;1985,029067;S0104; ARIMA(1,1,2)(0,0,0)[0] intercept
ma.L1;0,011539442;0,089939603;1971,348075;1985,029067;S0104; ARIMA(1,1,2)(0,0,0)[0] intercept
ma.L2;-0,866790627;0,070288309;1971,348075;1985,029067;S0104; ARIMA(1,1,2)(0,0,0)[0] intercept
sigma2;1711146,241;183314,1119;1971,348075;1985,029067;S0104; ARIMA(1,1,2)(0,0,0)[0] intercept
ar.L1;-0,752790493;0,118193615;1586,567154;1597,511948;S0107; ARIMA(1,1,2)(0,0,0)[0]          
ma.L1;0,013393464;0,093156042;1586,567154;1597,511948;S0107; ARIMA(1,1,2)(0,0,0)[0]          
ma.L2;-0,849229146;0,07321717;1586,567154;1597,511948;S0107; ARIMA(1,1,2)(0,0,0)[0]          
sigma2;59444,38556;5220,747565;1586,567154;1597,511948;S0107; ARIMA(1,1,2)(0,0,0)[0]          
ma.L1;-0,896265993;0,051756076;1896,835756;1902,308153;S0108; ARIMA(0,1,1)(0,0,0)[0]          
sigma2;932761,6509;55275,23578;1896,835756;1902,308153;S0108; ARIMA(0,1,1)(0,0,0)[0]          
ma.L1;-0,297806816;0,151742793;624,0751655;627,6884904;S0109; ARIMA(0,1,1)(0,0,0)[0]          
sigma2;56367,81381;12011,48426;624,0751655;627,6884904;S0109; ARIMA(0,1,1)(0,0,0)[0]          
ma.L1;-0,769667413;0,074578019;1348,864003;1354,3364;S0120; ARIMA(0,1,1)(0,0,0)[0]          
sigma2;7717,734279;907,4578491;1348,864003;1354,3364;S0120; ARIMA(0,1,1)(0,0,0)[0]          
ma.L1;-0,815199753;0,045559458;1570,605258;1576,077655;S0122; ARIMA(0,1,1)(0,0,0)[0]          
sigma2;53806,43947;5024,723203;1570,605258;1576,077655;S0122; ARIMA(0,1,1)(0,0,0)[0]          
ar.L1;0,465876529;0,067911974;1866,890478;1875,099073;S0126; ARIMA(1,1,1)(0,0,0)[0]          
ma.L1;-0,952239853;0,032804847;1866,890478;1875,099073;S0126; ARIMA(1,1,1)(0,0,0)[0]          
sigma2;706946,7932;45837,44685;1866,890478;1875,099073;S0126; ARIMA(1,1,1)(0,0,0)[0]          
ar.L1;0,084443233;0,136251651;1615,265909;1628,946901;S0131; ARIMA(3,1,1)(0,0,0)[0]          
ar.L2;0,04330449;0,125265548;1615,265909;1628,946901;S0131; ARIMA(3,1,1)(0,0,0)[0]          
ar.L3;0,193803058;0,129565112;1615,265909;1628,946901;S0131; ARIMA(3,1,1)(0,0,0)[0]          
ma.L1;-0,908335792;0,087281449;1615,265909;1628,946901;S0131; ARIMA(3,1,1)(0,0,0)[0]          
sigma2;75376,13939;6470,575632;1615,265909;1628,946901;S0131; ARIMA(3,1,1)(0,0,0)[0]          
ma.L1;-0,851812942;0,053229618;1818,117977;1823,590374;S0132; ARIMA(0,1,1)(0,0,0)[0]          
sigma2;469662,2803;30586,04081;1818,117977;1823,590374;S0132; ARIMA(0,1,1)(0,0,0)[0]          
intercept;166,6265864;81,58105724;561,5274914;566,6682076;S0136; ARIMA(1,0,0)(0,0,0)[0] intercept
ar.L1;0,671422898;0,142419463;561,5274914;566,6682076;S0136; ARIMA(1,0,0)(0,0,0)[0] intercept
sigma2;44670,65955;14299,89825;561,5274914;566,6682076;S0136; ARIMA(1,0,0)(0,0,0)[0] intercept
ma.L1;-0,878933977;0,053965793;1303,527068;1308,999464;S0141; ARIMA(0,1,1)(0,0,0)[0]          
sigma2;5155,020509;592,653068;1303,527068;1308,999464;S0141; ARIMA(0,1,1)(0,0,0)[0]          
ar.L1;0,27074529;0,125863839;1731,354873;1739,563469;S0142; ARIMA(1,1,1)(0,0,0)[0]          
ma.L1;-0,923854507;0,062094338;1731,354873;1739,563469;S0142; ARIMA(1,1,1)(0,0,0)[0]          
sigma2;215949,8119;12044,37104;1731,354873;1739,563469;S0142; ARIMA(1,1,1)(0,0,0)[0]          
ma.L1;-0,827471186;0,059789292;1381,852022;1387,324419;S0143; ARIMA(0,1,1)(0,0,0)[0]          
sigma2;10282,98819;602,3352221;1381,852022;1387,324419;S0143; ARIMA(0,1,1)(0,0,0)[0]          
